	Frame	X	Y	Z	Reliability
  	254	1.845135	0.427498	0.080924	0.000000
  	255	1.859982	0.426972	0.079271	0.000000
  	256	1.874217	0.426426	0.077873	0.000000
  	257	1.887751	0.425878	0.076706	0.000000
  	258	1.900497	0.425343	0.075745	0.000000
  	259	1.912371	0.424834	0.074963	0.000000
  	260	1.923302	0.424364	0.074333	0.000000
  	261	1.933224	0.423944	0.073830	0.000000
  	262	1.942090	0.423586	0.073430	0.000000
  	263	1.949867	0.423299	0.073115	0.000000
  	264	1.956548	0.423089	0.072867	0.000000
  	265	1.962149	0.422959	0.072676	0.000000
  	266	1.966716	0.422908	0.072533	0.000000
  	267	1.970330	0.422931	0.072432	0.000000
  	268	1.973102	0.423018	0.072368	0.000000
  	269	1.975170	0.423159	0.072341	0.000000
  	270	1.976690	0.423342	0.072348	0.000000
  	271	1.977813	0.423560	0.072392	0.000000
  	272	1.978671	0.423805	0.072474	0.000000
  	273	1.979363	0.424069	0.072590	0.000000
  	274	1.979950	0.424344	0.072734	0.000000
  	275	1.980463	0.424613	0.072896	0.000000
  	276	1.980916	0.424860	0.073063	0.000000
  	277	1.981314	0.425068	0.073226	0.000000
  	278	1.981664	0.425227	0.073379	0.000000
  	279	1.981972	0.425334	0.073517	0.000000
  	280	1.982240	0.425390	0.073640	0.000000
  	281	1.982470	0.425404	0.073748	0.000000
  	282	1.982661	0.425385	0.073842	0.000000
  	283	1.982813	0.425342	0.073925	0.000000
  	284	1.982922	0.425287	0.074000	0.000000
  	285	1.982988	0.425228	0.074070	0.000000
  	286	1.983011	0.425175	0.074137	0.000000
  	287	1.982992	0.425133	0.074203	0.000000
  	288	1.982932	0.425106	0.074270	0.000000
  	289	1.982837	0.425096	0.074336	0.000000
  	290	1.982716	0.425103	0.074403	0.000000
  	291	1.982584	0.425123	0.074470	0.000000
  	292	1.982463	0.425153	0.074536	0.000000
  	293	1.982380	0.425187	0.074601	0.000000
  	294	1.982377	0.425220	0.074662	0.000000
  	295	1.982501	0.425245	0.074721	0.000000
  	296	1.982813	0.425260	0.074775	0.000000
  	297	1.983380	0.425262	0.074824	0.000000
  	298	1.984277	0.425249	0.074865	0.000000
  	299	1.985575	0.425224	0.074896	0.000000
  	300	1.987339	0.425188	0.074916	0.000000
  	301	1.989608	0.425148	0.074925	0.000000
  	302	1.992384	0.425109	0.074923	0.000000
