	Frame	X	Y	Z	Reliability
  	174	1.694100	0.265922	0.058300	0.000000
  	175	1.702930	0.266219	0.058966	0.000000
  	176	1.710950	0.266680	0.059290	0.000000
  	177	1.718155	0.267347	0.059222	0.000000
  	178	1.724547	0.268247	0.058724	0.000000
  	179	1.730135	0.269389	0.057775	0.000000
  	180	1.734939	0.270760	0.056372	0.000000
  	181	1.738987	0.272328	0.054537	0.000000
  	182	1.742326	0.274040	0.052314	0.000000
  	183	1.745017	0.275826	0.049777	0.000000
  	184	1.747141	0.277603	0.047023	0.000000
  	185	1.748793	0.279284	0.044171	0.000000
  	186	1.750079	0.280787	0.041346	0.000000
  	187	1.751103	0.282050	0.038662	0.000000
  	188	1.751951	0.283040	0.036211	0.000000
  	189	1.752688	0.283762	0.034052	0.000000
  	190	1.753346	0.284249	0.032214	0.000000
  	191	1.753937	0.284552	0.030701	0.000000
  	192	1.754463	0.284727	0.029494	0.000000
  	193	1.754927	0.284819	0.028562	0.000000
  	194	1.755332	0.284857	0.027866	0.000000
  	195	1.755687	0.284853	0.027363	0.000000
  	196	1.755994	0.284819	0.027014	0.000000
  	197	1.756254	0.284763	0.026785	0.000000
  	198	1.756465	0.284697	0.026644	0.000000
  	199	1.756629	0.284629	0.026568	0.000000
  	200	1.756750	0.284562	0.026535	0.000000
  	201	1.756832	0.284495	0.026529	0.000000
  	202	1.756883	0.284426	0.026539	0.000000
  	203	1.756907	0.284355	0.026555	0.000000
  	204	1.756910	0.284281	0.026570	0.000000
  	205	1.756897	0.284205	0.026581	0.000000
  	206	1.756873	0.284127	0.026584	0.000000
  	207	1.756843	0.284049	0.026579	0.000000
  	208	1.756810	0.283975	0.026566	0.000000
  	209	1.756780	0.283906	0.026545	0.000000
  	210	1.756753	0.283845	0.026519	0.000000
  	211	1.756733	0.283795	0.026487	0.000000
  	212	1.756721	0.283755	0.026453	0.000000
  	213	1.756715	0.283728	0.026418	0.000000
  	214	1.756718	0.283712	0.026383	0.000000
  	215	1.756727	0.283708	0.026350	0.000000
  	216	1.756742	0.283714	0.026320	0.000000
  	217	1.756763	0.283731	0.026292	0.000000
  	218	1.756787	0.283755	0.026268	0.000000
  	219	1.756815	0.283786	0.026246	0.000000
  	220	1.756844	0.283820	0.026226	0.000000
  	221	1.756873	0.283857	0.026206	0.000000
  	222	1.756901	0.283893	0.026187	0.000000
  	223	1.756927	0.283928	0.026169	0.000000
  	224	1.756949	0.283959	0.026149	0.000000
  	225	1.756967	0.283986	0.026130	0.000000
  	226	1.756980	0.284009	0.026110	0.000000
  	227	1.756989	0.284026	0.026089	0.000000
  	228	1.756992	0.284039	0.026069	0.000000
  	229	1.756992	0.284050	0.026049	0.000000
  	230	1.756987	0.284059	0.026028	0.000000
  	231	1.756980	0.284067	0.026008	0.000000
  	232	1.756971	0.284078	0.025987	0.000000
  	233	1.756960	0.284091	0.025965	0.000000
  	234	1.756950	0.284107	0.025941	0.000000
  	235	1.756939	0.284128	0.025916	0.000000
  	236	1.756930	0.284152	0.025889	0.000000
  	237	1.756921	0.284180	0.025861	0.000000
  	238	1.756913	0.284210	0.025831	0.000000
  	239	1.756907	0.284243	0.025801	0.000000
  	240	1.756900	0.284276	0.025771	0.000000
  	241	1.756894	0.284309	0.025740	0.000000
  	242	1.756887	0.284342	0.025710	0.000000
  	243	1.756880	0.284374	0.025681	0.000000
  	244	1.756872	0.284404	0.025655	0.000000
  	245	1.756865	0.284430	0.025634	0.000000
  	246	1.756858	0.284450	0.025619	0.000000
  	247	1.756853	0.284465	0.025611	0.000000
  	248	1.756848	0.284473	0.025611	0.000000
  	249	1.756844	0.284473	0.025618	0.000000
  	250	1.756840	0.284468	0.025631	0.000000
  	251	1.756835	0.284457	0.025650	0.000000
  	252	1.756830	0.284442	0.025671	0.000000
  	253	1.756823	0.284428	0.025691	0.000000
  	254	1.756814	0.284415	0.025708	0.000000
  	255	1.756803	0.284405	0.025721	0.000000
  	256	1.756789	0.284401	0.025730	0.000000
  	257	1.756773	0.284402	0.025734	0.000000
  	258	1.756754	0.284408	0.025736	0.000000
  	259	1.756732	0.284420	0.025736	0.000000
  	260	1.756708	0.284437	0.025735	0.000000
  	261	1.756682	0.284458	0.025732	0.000000
  	262	1.756655	0.284482	0.025730	0.000000
  	263	1.756628	0.284509	0.025727	0.000000
  	264	1.756602	0.284537	0.025723	0.000000
  	265	1.756578	0.284564	0.025720	0.000000
  	266	1.756557	0.284592	0.025716	0.000000
  	267	1.756541	0.284618	0.025712	0.000000
  	268	1.756530	0.284643	0.025708	0.000000
  	269	1.756525	0.284668	0.025705	0.000000
  	270	1.756526	0.284694	0.025703	0.000000
  	271	1.756535	0.284723	0.025703	0.000000
  	272	1.756552	0.284757	0.025703	0.000000
  	273	1.756582	0.284798	0.025702	0.000000
  	274	1.756625	0.284849	0.025699	0.000000
  	275	1.756688	0.284915	0.025690	0.000000
  	276	1.756775	0.284997	0.025673	0.000000
  	277	1.756893	0.285099	0.025646	0.000000
  	278	1.757048	0.285223	0.025609	0.000000
  	279	1.757249	0.285369	0.025564	0.000000
  	280	1.757503	0.285539	0.025515	0.000000
  	281	1.757820	0.285730	0.025471	0.000000
  	282	1.758216	0.285940	0.025444	0.000000
  	283	1.758706	0.286165	0.025448	0.000000
  	284	1.759317	0.286402	0.025505	0.000000
  	285	1.760077	0.286644	0.025637	0.000000
  	286	1.761025	0.286885	0.025874	0.000000
  	287	1.762208	0.287116	0.026246	0.000000
  	288	1.763678	0.287325	0.026785	0.000000
  	289	1.765497	0.287499	0.027518	0.000000
  	290	1.767723	0.287621	0.028468	0.000000
  	291	1.770415	0.287673	0.029642	0.000000
  	292	1.773622	0.287634	0.031032	0.000000
  	293	1.777382	0.287488	0.032612	0.000000
  	294	1.781713	0.287220	0.034341	0.000000
  	295	1.786605	0.286823	0.036162	0.000000
  	296	1.792017	0.286301	0.038008	0.000000
  	297	1.797868	0.285674	0.039806	0.000000
  	298	1.804036	0.284973	0.041484	0.000000
  	299	1.810374	0.284241	0.042978	0.000000
  	300	1.816713	0.283520	0.044247	0.000000
  	301	1.822899	0.282848	0.045271	0.000000
  	302	1.828811	0.282251	0.046063	0.000000
