	Frame	X 	Y 	Z 
  	230	58.068546	1.750084	5.160871
  	231	57.254723	1.662352	4.902336
  	232	56.323006	1.566639	4.618969
  	233	55.288807	1.452131	4.315713
  	234	54.168121	1.309663	3.997447
  	235	52.972279	1.136064	3.669924
  	236	51.709457	0.936413	3.340800
  	237	50.386414	0.721371	3.019022
  	238	49.010754	0.503693	2.712102
  	239	47.590889	0.295976	2.424934
  	240	46.134415	0.107997	2.158924
  	241	44.646397	0.054001	1.911656
  	242	43.131863	0.186741	1.675129
  	243	41.595669	0.288628	1.435462
  	244	40.044624	0.359107	1.174698
  	245	38.485382	0.399117	0.874515
  	246	36.923767	0.412001	0.519764
  	247	35.363556	0.404057	0.100875
  	248	33.807510	0.383221	0.385966
  	249	32.259300	0.356752	0.939829
  	250	30.723742	0.330231	1.555465
  	251	29.207371	0.307795	2.223297
  	252	27.717979	0.292521	2.929467
  	253	26.264399	0.287150	3.657319
  	254	24.856287	0.294208	4.386892
  	255	23.504892	0.315266	5.095747
  	256	22.222630	0.349882	5.760032
  	257	21.023924	0.394254	6.356572
  	258	19.924280	0.441184	6.863465
  	259	18.940207	0.481000	7.260936
  	260	18.088024	0.502683	7.531400
  	261	17.382286	0.494927	7.660113
  	262	16.834274	0.447790	7.636205
  	263	16.451244	0.354336	7.453673
  	264	16.234337	0.212013	7.110771
  	265	16.179796	0.023680	6.612301
  	266	16.277534	0.201760	5.970317
  	267	16.512465	0.449138	5.205858
  	268	16.864635	0.698085	4.347652
  	269	17.309959	0.925220	3.430282
  	270	17.821768	1.108054	2.489460
  	271	18.371956	1.229199	1.556929
  	272	18.933842	1.280011	0.655793
  	273	19.484831	1.261710	0.200125
  	274	20.007540	1.183831	1.002356
  	275	20.489315	1.062533	1.743682
  	276	20.920404	0.917140	2.412407
  	277	21.292154	0.767539	2.992084
  	278	21.597128	0.631732	3.464921
  	279	21.829861	0.523272	3.818417
  	280	21.989088	0.449951	4.049688
  	281	22.078861	0.413669	4.166591
  	282	22.108084	0.411202	4.185606
  	283	22.088533	0.435049	4.129668
  	284	22.032993	0.474689	4.025809
  	285	21.952183	0.517987	3.902273
  	286	21.854574	0.553321	3.784902
  	287	21.745256	0.570568	3.692011
  	288	21.627329	0.562227	3.632520
  	289	21.503319	0.523130	3.607368
  	290	21.375340	0.451135	3.610775
  	291	21.244965	0.348225	3.632341
  	292	21.109503	0.221801	3.660590
  	293	20.963831	0.083862	3.687638
  	294	20.801647	0.052390	3.709681
  	295	20.619293	0.175733	3.725600
  	296	20.417629	0.278595	3.735927
  	297	20.202539	0.358311	3.740812
  	298	19.984631	0.416040	3.740481
  	299	19.775440	0.454322	3.736466
  	300	19.583849	0.476027	3.731121
  	301	19.416761	0.483834	3.727015
  	302	19.277870	0.481383	3.725269
